---------------------------
|         n |  n log_2(n) |
|       544 |    4943.6 |
|       545 |    4954.1 |
|       546 |    4964.6 |
|       547 |    4975.2 |
|       548 |    4985.7 |
|       549 |    4996.3 |
|       550 |    5006.8 |
|       551 |    5017.4 |
|       552 |    5027.9 |
|       553 |    5038.5 |
|       554 |    5049.0 |
|       555 |    5059.6 |
|       556 |    5070.1 |
|       557 |    5080.7 |
|       558 |    5091.3 |
|       559 |    5101.8 |
|       560 |    5112.4 |
|       561 |    5123.0 |
|       562 |    5133.5 |
|       563 |    5144.1 |
|       564 |    5154.7 |
|       565 |    5165.3 |
|       566 |    5175.9 |
|       567 |    5186.5 |
|       568 |    5197.1 |
|       569 |    5207.7 |
|       570 |    5218.2 |
|       571 |    5228.8 |
|       572 |    5239.4 |
|       573 |    5250.1 |
|       574 |    5260.7 |
|       575 |    5271.3 |
|       576 |    5281.9 |
|       577 |    5292.5 |
|       578 |    5303.1 |
|       579 |    5313.7 |
|       580 |    5324.3 |
|       581 |    5335.0 |
|       582 |    5345.6 |
|       583 |    5356.2 |
|       584 |    5366.9 |
|       585 |    5377.5 |
|       586 |    5388.1 |
|       587 |    5398.8 |
|       588 |    5409.4 |
|       589 |    5420.1 |
|       590 |    5430.7 |
|       591 |    5441.3 |
|       592 |    5452.0 |
|       593 |    5462.6 |
|       594 |    5473.3 |
|       595 |    5484.0 |
|       596 |    5494.6 |
|       597 |    5505.3 |
|       598 |    5516.0 |
|       599 |    5526.6 |
|       600 |    5537.3 |
|       601 |    5548.0 |
|       602 |    5558.6 |
|       603 |    5569.3 |
|       604 |    5580.0 |
|       605 |    5590.7 |
|       606 |    5601.4 |
|       607 |    5612.1 |
|       608 |    5622.7 |
|       609 |    5633.4 |
|       610 |    5644.1 |
|       611 |    5654.8 |
|       612 |    5665.5 |
|       613 |    5676.2 |
|       614 |    5686.9 |
|       615 |    5697.6 |
|       616 |    5708.3 |
|       617 |    5719.1 |
|       618 |    5729.8 |
|       619 |    5740.5 |
|       620 |    5751.2 |
|       621 |    5761.9 |
|       622 |    5772.6 |
|       623 |    5783.4 |
|       624 |    5794.1 |
|       625 |    5804.8 |
|       626 |    5815.6 |
|       627 |    5826.3 |
|       628 |    5837.0 |
|       629 |    5847.8 |
|       630 |    5858.5 |
|       631 |    5869.2 |
|       632 |    5880.0 |
|       633 |    5890.7 |
|       634 |    5901.5 |
|       635 |    5912.2 |
|       636 |    5923.0 |
|       637 |    5933.8 |
|       638 |    5944.5 |
|       639 |    5955.3 |
|       640 |    5966.0 |
|       641 |    5976.8 |
|       642 |    5987.6 |
|       643 |    5998.3 |
|       644 |    6009.1 |
|       645 |    6019.9 |
|       646 |    6030.7 |
|       647 |    6041.4 |
|       648 |    6052.2 |
|       649 |    6063.0 |
|       650 |    6073.8 |
|       651 |    6084.6 |
|       652 |    6095.4 |
|       653 |    6106.2 |
|       654 |    6117.0 |
|       655 |    6127.8 |
|       656 |    6138.6 |
|       657 |    6149.4 |
|       658 |    6160.2 |
|       659 |    6171.0 |
|       660 |    6181.8 |
|       661 |    6192.6 |
|       662 |    6203.4 |
|       663 |    6214.2 |
|       664 |    6225.0 |
|       665 |    6235.8 |
|       666 |    6246.7 |
|       667 |    6257.5 |
|       668 |    6268.3 |
|       669 |    6279.1 |
|       670 |    6290.0 |
|       671 |    6300.8 |
|       672 |    6311.6 |
|       673 |    6322.5 |
|       674 |    6333.3 |
|       675 |    6344.2 |
|       676 |    6355.0 |
|       677 |    6365.8 |
|       678 |    6376.7 |
|       679 |    6387.5 |
|       680 |    6398.4 |
|       681 |    6409.2 |
|       682 |    6420.1 |
|       683 |    6431.0 |
|       684 |    6441.8 |
|       685 |    6452.7 |
|       686 |    6463.5 |
|       687 |    6474.4 |
|       688 |    6485.3 |
|       689 |    6496.1 |
|       690 |    6507.0 |
|       691 |    6517.9 |
|       692 |    6528.8 |
|       693 |    6539.6 |
|       694 |    6550.5 |
|       695 |    6561.4 |
|       696 |    6572.3 |
|       697 |    6583.2 |
|       698 |    6594.1 |
|       699 |    6605.0 |
|       700 |    6615.8 |
|       701 |    6626.7 |
|       702 |    6637.6 |
|       703 |    6648.5 |
|       704 |    6659.4 |
|       705 |    6670.3 |
|       706 |    6681.2 |
|       707 |    6692.2 |
|       708 |    6703.1 |
|       709 |    6714.0 |
|       710 |    6724.9 |
|       711 |    6735.8 |
|       712 |    6746.7 |
|       713 |    6757.6 |
|       714 |    6768.6 |
|       715 |    6779.5 |
|       716 |    6790.4 |
|       717 |    6801.3 |
|       718 |    6812.3 |
|       719 |    6823.2 |
|       720 |    6834.1 |
|       721 |    6845.1 |
|       722 |    6856.0 |
|       723 |    6866.9 |
|       724 |    6877.9 |
|       725 |    6888.8 |
|       726 |    6899.8 |
|       727 |    6910.7 |
|       728 |    6921.7 |
|       729 |    6932.6 |
|       730 |    6943.6 |
|       731 |    6954.5 |
|       732 |    6965.5 |
|       733 |    6976.5 |
|       734 |    6987.4 |
|       735 |    6998.4 |
|       736 |    7009.3 |
|       737 |    7020.3 |
|       738 |    7031.3 |
|       739 |    7042.2 |
|       740 |    7053.2 |
|       741 |    7064.2 |
|       742 |    7075.2 |
|       743 |    7086.2 |
|       744 |    7097.1 |
|       745 |    7108.1 |
|       746 |    7119.1 |
|       747 |    7130.1 |
|       748 |    7141.1 |
|       749 |    7152.1 |
|       750 |    7163.1 |
|       751 |    7174.1 |
|       752 |    7185.1 |
|       753 |    7196.0 |
|       754 |    7207.0 |
|       755 |    7218.1 |
|       756 |    7229.1 |
|       757 |    7240.1 |
|       758 |    7251.1 |
|       759 |    7262.1 |
|       760 |    7273.1 |
|       761 |    7284.1 |
|       762 |    7295.1 |
|       763 |    7306.1 |
|       764 |    7317.2 |
|       765 |    7328.2 |
|       766 |    7339.2 |
|       767 |    7350.2 |
|       768 |    7361.3 |
|       769 |    7372.3 |
|       770 |    7383.3 |
|       771 |    7394.3 |
|       772 |    7405.4 |
|       773 |    7416.4 |
|       774 |    7427.5 |
|       775 |    7438.5 |
|       776 |    7449.5 |
|       777 |    7460.6 |
|       778 |    7471.6 |
|       779 |    7482.7 |
|       780 |    7493.7 |
|       781 |    7504.8 |
|       782 |    7515.8 |
|       783 |    7526.9 |
|       784 |    7537.9 |
|       785 |    7549.0 |
|       786 |    7560.1 |
|       787 |    7571.1 |
|       788 |    7582.2 |
|       789 |    7593.2 |
|       790 |    7604.3 |
|       791 |    7615.4 |
|       792 |    7626.5 |
